ID,Full taxonomic name,Common name,Cultivation group (Rotational information),Sunlight requirements,Temperature class,Nutrient requirements,Preferred pH,Nutritional information,Energy Value per 100g raw Kcal,General Description,Sensitivities,Water Requirements,Plant Requirements,Descriptive Growing Season,Pests and Pathogens,Disease Management,Soil,Optimum Germination Temerature,Days to germination at optimum temperature,Plant growing ideal temperature,Length of gorwing to harvest,Image_product,image_plant
114,"Fragaria ananassa","Strawberry","Miscellaneous","Full sun","Hardy","Medium","5.5-6.5","Currently no data available.",0,"A soft fruit that is cultivated world wide, and appreciated for its characteristic aroma and sweetness.  It is eaten fresh, used for making preserves, juices, and many other dishes.","Currently no data available.","Medium","Requires fertile, moist but well drained soil.  Planting through polythene, or applying straw keeps the berries clean.  This is an ideal plant to grow in containers as this will allow the berries to mature away from moist soil.","Semi-evergreen perrenial","Currently no data available.","Currently no data available.","Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","114_1.jpg","114_2.jpg"
113,"Artemisia dracunculus","Tarragon (French)","Miscellaneous","Full sun","Hardy","Low","6.5-7.5","Currently no data available.",0,"Tarragon is reported to be one of the top 4 herbs used in French cooking. It has an intense flavour that is a unique blend of sweet aniseed and mild vanilla. It is essential ingredient in Béarnaise sauce.","Currently no data available.","Low","Does not set viable seed, so buying young plants, or taking cuttings is required. Trim back in autumn to encourage new growth and stop the stems becoming leggy.","Perennial","Currently no data available.","Currently no data available.","Loam, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","113_1.jpg","113_2.jpg"
112,"Salvia officinalis","Sage","Miscellaneous","Full sun","Hardy","Low","5.5-6.5","Currently no data available.",0,"The soft greyish green leaves are traditionally used in stuffing. They also have reported medicinal properties to help with digestive problems.","Currently no data available.","Low","An easy herb to grow that does well in most well drained soils. Trim back in the autumn to encourage new growth, and stop the stems becoming leggy.","Perrenial evergreen","Currently no data available.","Currently no data available.","Sand, Chalk, Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","112_1.jpg","112_2.jpg"
118,"Malus","Apple","Miscellaneous","Full sun","Hardy","Medium","6.0-7.5","Currently no data available.",0,"A sweet edible fruit which is eaten raw, cooked or juiced.  The most widely cultivated fruit tree world wide, with a vast range of tree sizes.","Currently no data available.","Medium","There are thousands of difference varieties that generally fall in to either cooking apples, or dessert apples (for eating).  Require little care, but ""chill hours"" are required to set fruit. More than one tree is needed to allow cross pollination.","Perennial","Currently no data available.","Currently no data available.","Loamy","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","118_1.jpg","118_2.jpg"
120,"Rubus fruticosus agg.","Blackberry","Miscellaneous","Full sun","Very hardy","Low","6.0-7.0","Currently no data available.",0,"Also known as a bramble, the dark almost black fruits comprise of juice filled sweet drouplets.  They are traditionally grown along wires, but can also be trained to cover arches and trellis.","Currently no data available.","Medium","Blackberries are vigorous growers and require regular pruning.  However as the fruit is produced on last years growth, only prune back the canes once fruiting is finished, then tie back the new canes for next year.","Perennial","Currently no data available.","Currently no data available.","Sandy","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","120_1.jpg","120_2.jpg"
33,"Brassica oleracea","Cabbage (Spring red)","Brassica","Full sun","Hardy","High","6.0-7.5","Currently no data available.",0,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.","Currently no data available.","High","Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.","biennial","Currently no data available.","Currently no data available.","Sand/loam/clay","26","4","7-30","60-110","33_1.jpg","33_2.jpg"
34,"Brassica oleracea","Cabbage (Summer red)","Brassica","Full sun","Hardy","High","6.0-7.5","Currently no data available.",0,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.","Currently no data available.","High","Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.","biennial","Currently no data available.","Currently no data available.","Sand/loam/clay","26","4","7-30","60-110","34_1.jpg","34_2.jpg"
35,"Brassica oleracea","Cabbage (Summer)","Brassica","Full sun","Hardy","High","6.0-7.5","Currently no data available.",0,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.","Currently no data available.","High","Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.","biennial","Currently no data available.","Currently no data available.","Sand/loam/clay","26","4","7-30","60-110","35_1.jpg","35_2.jpg"
37,"Daucus carota","Carrot","Umbelliferae","Full sun/partial shade","Hardy","Low","5.5-7.0","Currently no data available.",0,"The swollen taproot of this fast growing plant can be eaten raw or cooked.  Normally orange, but varieties range from white to black.","Currently no data available.","High","Best grown in light, fertile soil in a sunny position. Heavy or stony soils can cause stunted or forked carrots.   They like hot weather and are drought resistant, seldom needing water. However if foliage starts wilt, give a thorough soaking of water.","biennial","Currently no data available.","Be careful when weeding or thinning that you don’t crush the foliage, as the smell attracts carrot fly. Fleece covering or barriers prevent these pests egg laying, especially early in the season.","Loamy and sandy","26","4","7-30","60-80","37_1.jpg","37_2.jpg"
139,"Prunus domestica","Plum","Miscellaneous","Full sun","Hardy","Medium to high","6.0-8.0","Currently no data available.",0,"A sweet fruit that contains a single stone in the centre. Has many uses, from eating raw to preserving and cooking. There are many varieties which also include damsons and greengages.","Currently no data available.","Medium","Choosing the correct variety for your climate and plot size is essential. The plum tree can vary from being less than 2m high and 0.5m wide to over 5m high.  Care is not difficult, but pruning and removing dead wood will ensure successful crop.","Perennial","Currently no data available.","Currently no data available.","Clay, Loam","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","139_1.jpg","139_2.jpg"
128,"Corylus avellana","Hazel","Miscellaneous","Full sun/partial shade","Hardy","Medium","6.5-7.5","Currently no data available.",0,"A small tree or shrub grown for it's hard shelled nuts.  Is suited to growing in a garden, producing pretty catkins in the spring  and nuts in the autumn.","Currently no data available.","Medium","Are best grown in temperate climates, as hazel trees cannot tolerate long dry seasons or high heat.  In the correct climate they are an easy nut to grow, not taking up too much space.  As they are wind pollinated, they prefer an open site.","Perennial","Currently no data available.","Currently no data available.","Loamy, sandy","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 128_1.jpg not yet available","image 128_1.jpg not yet available"
125,"Ficus carica","Fig","Miscellaneous","Full sun/partial shade","Hardy","High","6.0-6.5","Currently no data available.",0,"A small tree/large shrub that produces soft sweet fruit that can be used fresh, dried and preserved.","Currently no data available.","Medium","Requires warmth and sun. They thrive in long hot summers, but can also be grown in containers allowing them to be moved indoors over winter.","Perennial","Currently no data available.","Currently no data available.","All soil types","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 125_1.jpg not yet available","image 125_1.jpg not yet available"
117,"Prunus dulcis","Almond","Miscellaneous","Full sun","Tender","Medium","6.0-7.0","Currently no data available.",0,"Almond trees have been cultivated for 1000's of years, their fruits are used for making baked goods, confectionary and oil.","Suseptable to spring frosts.","Medium","Few varieties are self fertile, so require two or more trees for cross pollination and fruit production.  They prefer dry hot summers and mild wet winters. Can take up to 8 years to fruit, and will live over 50 years.","Perennial","Currently no data available.","Currently no data available.","Sandy Loam","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","117_1.jpg not yet available","image 117_1.jpg not yet available"
14,"Cucumis sativus","Cucumber","Cucurbit","Full sun/partial shade","Tender","High","5.5-7.0","Currently no data available.",0,"A climbing plant that produces fruits that are used raw in salads or cooked.  Valued for its crisp texture and juiciness.","Currently no data available.","High","There are indoor and outdoor varieties available so it’s worth checking what's the right type for you before you start sowing. You can grow cucumbers in the ground, in growbags and even in containers.","Annual","Currently no data available.","Currently no data available.","Any well-drained and fertile","35","3","16-35","90-120","14_1.jpg","14_2.jpg"
13,"Cucurbita pepo","Zucchini or Courgette","Cucurbit","Full sun","Tender","High","6.0-7.0","Currently no data available.",0,"Used as a vegetable, it has a very mild flavour and is very watery. Tends to be harvested when very young.","Currently no data available.","Medium","Courgettes are easy to grow and will crop prolifically through summer and early autumn. They are ready for picking very soon after flowering. They will swell and form marrows if not harvested.","Annual","Currently no data available.","Currently no data available.","Any well-drained and fertile","21","7","21-35","50-60","13_1.jpg","13_2.jpg"
15,"Cucumis melo","Melon","Cucurbit","Full sun","Tender","High","5.5-7.5","Currently no data available.",0,"A sweet fruit eaten raw with a high water content so is refreshing.  The seeds can also be eaten and are rich in oil.","Currently no data available.","High","Melons are tender plants. They need a warm, and sunny spot with high humidity and a rich, fertile, moisture retentive, deep and well-drained soil.","Annual","Currently no data available.","Currently no data available.","Loamy","24-32","4-10","18 -","75-100","15_1.jpg","15_2.jpg"
16,"Cucurbita moschata","Pumpkin","Cucurbit","Full sun","Hardy","High","6.0-7.0","Currently no data available.",0,"Both the flesh and the seed of the fruit can be eaten.  The flesh is eaten cooked, and seeds can be eaten raw.","Currently no data available.","Medium","Pumpkins are fun and  easy to cultivate, but need a sunny position, plenty of water, and shelter from cold winds. Once the first fruits start to swell,  feed every 10-14 days with a high potash liquid fertiliser.","Annual","Currently no data available.","Currently no data available.","Any well-drained and fertile","35","4","21-35","90-120","16_1.jpg","16_2.jpg"
17,"Citrullus lanatus","Water melon","Cucurbit","Full sun","Tender","High","6.0-7.0","Currently no data available.",0,"The flesh of these large fruits are eaten raw.  They have a very high water content, so are often used to make refreshing drinks.","Currently no data available.","High","Native to Africa, melons are very tender and need warmth (up to 25°F during the day) along with a long growing season.  They  are heavy feeders, and grow best on raised rows to ensure good drainage and heat retention.","Annual","Currently no data available.","Currently no data available.","Sandy","35","4","26","80-100","17_1.jpg","17_2.jpg"
19,"Lactuca sativa","Lettuce (Headed)","Salad","Partial shade","Tender","Medium","6.0-7.0","Currently no data available.",0,"Hearting lettuces have a dense centre of leaves which can be used in salads.  Choose the right variety and you can have lettuce almost all year, with difference colours and flavours to try.","Currently no data available.","High","Lettuce requires full sun on moisture-retentive soil.  It is a cool season crop and can tolerate light frosts. It will bolt in warm weather.","Annual","Currently no data available.","Currently no data available.","Any well-drained and fertile","24","3","4-27","45-100","19_1.jpg","19_2.jpg"
7,"Brassica oleracea  (Italica group)","Broccoli","Brassica","Full sun/partial shade","Half hardy","High","6.0-7.5","A good source of vitamin C, folate, dietary fibre, and potassium.",34,"Broccoli is a member of the cabbage family. The broccoli is the green or purple flowering head.  It is normally cooked, but can be eaten raw.","A cool weather crop best not grown over hot summer months.  Broccoli are temperature sensitive with an ideal temperature range of 18 to 26 °C.","Medium","Broccoli grow best in partial-shade, in firm, fertile, and free-draining soil. Avoid shallow, sandy soils, and exposed sites.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and sandy","30","4","7-30","55-85","7_1.jpg","7_2.jpg"
9,"Brassica oleracea (Botrytis group)","Cauliflower","Brassica","Full sun","Hardy","High","5.5-7.5","A good source of vitamin C, vitamin K, and folate.",31,"Cauliflower is a variety of common cabbage in which flowers have begun to form, but have stopped growing at the bud stage. Cauliflower is usually cooked, but can be eaten raw.","Sensitive to temperatures over 25 °C.","Medium","Cauliflower grow best in partial-shade, in firm, fertile, and free-draining soil. They enjoy deep, humus rich soil, with a good supply of water and high humidity.","Currently no data available.","Currently no data available.","Currently no data available.","Any well-drained and fertile","26","5","15-20","55-110","9_1.jpg","9_2.jpg"
20,"Apium graveolens","Celery","Salad","Full sun/partial shade","Tender","High","6.0-7.0","Currently no data available.",0,"The leaves and stems of this plant are eaten either raw or cooked.  When raw they are a common salad ingredient, and cooked they are used in soups.","Currently no data available.","High","Celery is a long-season crop that can be tricky to grow. It prefers a temperature range of 12-21°C, is a heavy feeder, and requires lots of water.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","21","7","13 -","90-140","20_1.jpg","20_2.jpg"
21,"cichorium intybus","Chicory","Salad","Full sun/partial shade","Hardy","Low","6.0-6.7","Currently no data available.",0,"The leaves are eaten raw or cooked and are often blanched by excluding light by earthing over, or covering the plant. The root is cooked similar to parsnip, or roasted and used as a coffee substitute.","Currently no data available.","Low","Chicory prefers an open, sunny site, with moderately fertile well-drained moisture retentive soil.","Currently no data available.","Currently no data available.","Currently no data available.","Chalky, sandy and clay","21","6","10-25","75-80","21_1.jpg","21_2.jpg"
22,"Amaranthus cruentus","Amaranth (Grain)","Miscellaneous","Full sun","Tender","Medium","6.0-7.0","Currently no data available.",0,"Grown for its very small seed.  These can be eaten cooked, or ground into a powder for baking.  Eaten raw they are sprouted and used in salads.","Currently no data available.","Medium","Amaranth is a warm season crop that requires full sun.  Described as disease-free and drought-tolerant, they thrive in rich and well drained soil. Once established, they produce abundant harvests under dry conditions.","Currently no data available.","Currently no data available.","Currently no data available.","Well-drained and fertile","18-24","4","15-20","90-120","22_1.jpg","22_2.jpg"
24,"Helianthus tuberosus","Artichoke (Jerusalem)","Miscellaneous","Full sun","Very hardy","Low","6.5-7.5","Currently no data available.",0,"This statuesque plant is a relative of the sunflower. It is grown for it's below-ground tubers that can be cooked or eaten raw, it also boasts attractive yellow flowers perched on 3m (10ft) stems.","Currently no data available.","Low","Jerusalem artichokes are grown from tubers and will grow in just about any soil. Plant the least lumpy ones to breed out the knobbly artichokes which are more difficulty to peel.","Currently no data available.","Currently no data available.","Currently no data available.","Sand/loam/clay","18-32","10-17","18-32","110-150","24_1.jpg","24_2.jpg"
25,"Asparagus officinalis","Asparagus","Miscellaneous","Full sun/partial shade","Hardy","Medium","6.5-7.5","Currently no data available.",0,"Asparagus is a herbaceous, perennial plant of which only the newly emerging shoots from young plants are eaten.","Currently no data available.","Medium","Grows best in an open, sunny site, but will tolerate dappled shade. It is not fussy about the soil type as long as it is well drained.","Currently no data available.","Currently no data available.","Currently no data available.","Sandy and loamy","24","10","20",,"25_1.jpg","25_2.jpg"
26,"Solanum melongena","Aubergine","Solanaceae","Full sun","Tender","High potassium fertiliser every 2 weeks.","5.5-7.0","Currently no data available.",0,"Grown for it's egg-shaped, glossy, purple fruit which has white flesh.  Eaten cooked, it is normally baked, stewed or added to soups.","Currently no data available.","very high","Sunshine and warm growing conditions are the key to success. Water regularly and feed with a high potassium liquid fertiliser every two weeks once the first fruit has set.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy and potting mix","30","4","24-32","65-80","26_1.jpg","26_2.jpg"
27,"Phaseolus vulgaris","Beans (Borlotti)","Legume","Full sun/partial shade","Tender","Low","6.0-6.5","Currently no data available.",0,"Pods are picked when mature and then dried.","Currently no data available.","Medium","They are not frost hardy and need sunshine and warm soil to flourish. Beans will not germinate if the soil temperatures are below 10°C.","Currently no data available.","Currently no data available.","Currently no data available.","Any well-drained and fertile","16","7","16-30","55-80","27_1.jpg","27_2.jpg"
28,"Beta vulgaris","Beetroot","Umbelliferae","Full sun/partial shade","Half hardy","Medium","6.0-7.5","Packed with antioxidants, carbohydrates, potassium and folic acid.",0,"Grown for both the root and the leaves.  The root is normally boiled then pickled, but if harvested young they can be used raw.  The leaves can be eaten raw or cooked, but excessive harvesting can reduce the yield of the tape root.","Currently no data available.","Medium","Beetroot will grow in well-drained, loose,  fertile soil, with plenty of well rotted organic matter added.  Beetroot is one of the few root crops that can be grown from transplants.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","30","4","10 - 30","55-80","28_1.jpg","28_2.jpg"
29,"Brassica rapa  (Chinensis group)","Bok Choy","Brassica","Full sun","Tender","Low","6.5-7.0","Currently no data available.",0,"The stalks are crisp and the leaves are smooth and tender with a flavour somewhere between cabbage and chard.  It can be used raw or cooked.","Currently no data available.","High","Bok choy can handle full sun, but it grows best in partial shade. It needs about 3 - 5 hours of sun each day and can be harvested in 45 - 60 days.  It tolerates light frost, but exposure to cold temperatures in spring can trigger early bolting.","Currently no data available.","Currently no data available.","Currently no data available.","Loamy","13-24","6-10","10-24","45-60","29_1.jpg","29_2.jpg"
